"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
831344550,LOGOS WILDERNESS THERAPY LOGOS
831345990,HILLIARD DAVIDSON GIRLS XC PARENT CLUB
831348199,CONNECT COMPANY CONNECT OPT FOR OPTIMISM
831352637,FOLDS OF HONOR FOUNDATION PALMETTO STATE
831353005,TRANSFORMATION HOUSE
831358697,UNIQUE GIRLS CLUB
831362861,SAN DIEGO WOMEN VETERANS NETWORK
831364354,KISKI AREA GIRLS VOLLEYBALL BOOSTERS
831366289,JEWELS OF COLOR INC
831368712,US WOMEN IN COFFEE ASSOCIATION
831370524,SANCTUARY OF CHANGE INC
831371213,GIRLS INTERRUPTED
831371608,BETA THETA WOMENS SERVICE CLUB
831374281,GURLS TALK INC
831374451,MOTHER GOOSE CHARITES
831377568,WOMENS THINK TANK
831378025,NATIONAL POST CONVICTION PROJECT NPCP
831378889,BOLD WOMEN MINISTRIES
831382006,TIME OF CHANGE
831385376,STUDIO SOUTH FOUNDATION INC
831385788,PRIORITY WORSHIP MINISTRY INC
831395032,WOMEN INSPIRING LEADERS A COLORADO NONPROFIT CORPORATION
831398064,HOPE REDEFINED
831400012,REGGAE GIRLZ FOUNDATION INC
831400205,BLACK AND BROWN WOMYN POWER COALITION INC
831403831,MOMS CHRISTMAS STOCKING
831405102,SECOND CHANCE INITIATIVE INC
831407682,LOCAL 140 LADIES AUXILIARY
831409875,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC CLASS OF 2018
831411579,BARAKA GIRLS
831415586,CHEROKEE HIGH SCHOOL GIRLS LACROSSE BOOSTER CLUB INC
831416287,SOUTHEAST GEORGIA WOMENS CENTER INC
831423092,OUR SONS AND DAUGHTERS
831424738,STMA GIRLS CROSS COUNTRY BOOSTER CLUB
831425721,NORCAL WOMENS LACROSSE OFFICIALS
831427521,PHENOMENAL GIRLS TRAVEL INC
831428252,GLAMOUR GIRL FITNESS
831431468,SPIRITUAL GIRL INCORPORATED
831432960,FOSTERING THE FUTURE NOW
831437226,BREAKING THE CHAINS OF DOMESTIC VIOLENCE
831437661,COVINGTON GIRLS SOFTBALL
831438893,PARENT BOOSTER USA INC REBELS GIRLS GOLF BOOSTER CLUB INC
831440512,DESIGNING WOMEN OF ACADIANA
831444855,NEVADA WOMEN IN TRADES
831447190,SHE BELIEVES IN ME
831447923,WOMEN EVOLVING INC
831452118,MOTHERS AND BEYOND INITIATIVES
831454283,SOUTH SOUND ASSASSINS WOMENS RUGBY CLUB
831455769,WOVEN WOMEN INTERNATIONAL INC
831459067,WOMEN HEALING THE WORLD
831462755,BRIDES AGAINST BREAST CANCER CHARITY
831465523,LIGHTHOUSE CHILDRENS SHELTER
831466139,BAD ASS WOMEN IN SPORT BAWS
831468716,YOU ARE ROYAL
831470727,WOMEN OF COMPASSION INTERNATIONAL NFP
831470993,REAL GIRLS FOUNDATION INC
831472506,WOMENS SOBER HOUSE OF LUFKIN INC
831472911,DREAMWEEK INC
831473129,ROCHESTER REGIONAL COALITION AGAINST HUMAN TRAFFICKING INC
831475033,WOMEN WARRIORS AND WORSHIPPERS MINISTRY
831476898,URBAN ENCOUNTER MINISTRIES
831479991,MARY S DAUGHTER FOR THE FORMERLY INCARCERATED
831480208,LIFE GPS INC
831481575,PROFESSIONAL WOMENS GROUP OF NORTHERN ARIZONA INC
831481861,ALABAMA COALITION FOR HEALTHY MOTHERS AND CHILDREN
831482744,CLOSET D REINA
831482819,RICHMOND GIRLS FASTPITCH ASSOCIATION RGFA
831482997,STRONG WOMEN
831484206,DAUGHTERS AGAINST ALZHEIMERS INC
831485025,CALVINS DAUGHTER
831489479,GIRLS TO GRANDMASTERS INC
831489829,UNITED DAUGHTERS OF THE CONFEDERACY DAVIE LINDSAY
831490362,BE YOUR OWN GIRLBOSS INC
831490542,SOCIETY OF WOMEN WARRIORS INC
831492712,WWBBC
831493724,LATINAS IN TECH INC
831495360,WILDCATS GIRLS HIGH SCHOOL HOCKEY BOOSTERS
831499350,WOMEN IN SCIENCE SOCIETY INC SDSU CHAPTER
831500358,PARENT BOOSTER USA INC GGS GIRLS JO BOOSTER INC
831501826,COVENANT PARTNERS OF PASTORS CPOP
831503303,SAFE PASSAGE INC
831503593,ELECTRIC FLY LADIES
831504085,MUSLIM GIRL FOUNDATION INC
831506285,CATONSVILLE WOMENS GIVING CIRCLE
831509490,LOUETTA ROBERTS HEMBY BREAST CANCER FOUNDATION
831510443,MOONRISE WELLNESS AND BIRTH CENTER
831511124,EVERY CHILD COUNTS INC
831517286,GIRLS CHOIR OF SPRINGFIELD
831518424,FIT GIRL GANG
831519691,WOMENS WELLNESS AND AWARENESS CENTER
831520896,WOMENADE OF PINELLAS INC
831520901,SUDANESE AMERICAN WOMENS DOCTORS ASSOCIATION SAWDA
831522419,KIND FOOTPRINT
831522488,MOM OF COLUMBIA COUNTY
831525856,NEW YORK JAGUARS FASTPITCH
831526247,WOMEN WILLS AND WINE INCORPORATED
831526970,WOMEN FOR POLITICAL CHANGE EDUCATION AND ADVOCACY FUND
831528873,ARKANSAS BREAST CANCER SPECIALISTS
831529567,MOTHERS SAVING OUR CHILDREN MSOC
831530294,FREE MOM HUGS INC
831536448,QUEEN ELITE INTERNATIONAL WOMEN ORGANIZATION QUEEN ELITE WOMEN CLUB
831541211,GIRLS EMPOWERMENT THROUGH MINDFULNESS INC
831546609,DALLAS SOUTH WOMENS ASSOCIATION
831548027,EISENHOWER GIRLS LACROSSE BOOSTER CLUB
831549810,BOULANGER INITIATIVE
831555514,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC VIRGINIA VENOM TRAVEL ORGANIZATION
831555783,VERSAILLES MODERN MOTHERS
831556629,WORLD OF LIGHT WOMEN OF LIGHT
831557329,GIRLS SPEAK UNITED
831558389,HOPKINTON GIRLS YOUTH LACROSSE
831561576,NATIONAL SOCIETY DAUGHTERS OF CSA OFFICERS CORPS INC
831564113,NEW FAIRFIELD HIGH SCHOOL GIRLS LACROSSE BOOSTER CLUB
831564315,MILLENNIAL WOMEN S SOLUTION NETWORK INC
831566186,KURLZ 4 GIRLZ MENTORSHIP
831568441,MAGIC BLACK GIRLS LEADERSHIP INSTITUTE MAGIC BLACK GIRLS
831568495,CHOOSE GRACE INTERNATIONAL
831569316,BORDERED POETRY ROOM A NJ NONPROFIT CORPORATION WOMEN OF PURPOSE ON DOMESTIC VIOLEN
831572345,MERELY HUMAN MINISTRIES
831574426,GIRL PHENOM INC
831574682,PLAY LIKE A GIRL INC PLAY LIKE A GIRL
831574715,REACH WOMENS NETWORK
831577160,WOMEN ON THE ROCK ROCK BOTTOM RANCH
831581223,UNITED WOMEN OF COLOR
831584463,CASTLE COUNTRY PREGNANCY RESOURCE CENTER
831585720,HEARTS OF FATIMA IN NIGERA
831587447,EMMAS CHOICE
831588017,FEDERATION OF WORLD KOREAN WOMENS ASSOCIATION
831589502,GIRLS OF TODAY LEADERS OF TOMORROW
831589988,A MOTHERS LOVE FOUNDATION
831596738,LADIES AUXILIARY OF THE LAKE PARSIPPANY VOLUNTEER FIRE COMPANY
831598491,HYGIENE FOR WOMEN
831598994,IMPACT 100 OF INDIAN RIVER COUNTY INC
831605918,SISTERS MAKING A DIFFERENCE INC
831606056,SECOND TIMES A CHARM
831608542,THE ARMY OF SURVIVORS INC
831608588,GARDEN VALLEY SYRINGA CLUB INC
831612984,REMRE INC
831613949,PAGE GIRLS LACROSSE
831616373,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC WISCONSIN LADY SHOOTERS BASKETBALL
831621402,AMIGAS INC AMIGAS
831624357,SISTERS OF SOLACE
831625248,TOUGH ENOUGH TO WEAR PINK TWIN FALLS
831627901,GIRLS THAT REACH AND TEACH
831628516,PARENT BOOSTER USA INC CPHS GIRLS BASKETBALL BOOSTER INC
831629740,SOS SISTERS OF STRENGTH
831630119,DC COALITION TO END SEXUAL VIOLENCE
831637816,WAYNE HILLS GIRLS SOCCER BOOSTER CLUB
831638231,GIVE HOPE AFRICA
831639447,DAUGHTERS IN FAITH
831639532,LA LECHE LEAGUE INTERNATIONAL INC LLL MERIDIAN
831645986,STENO INSTITUTE
831646787,WOMENS FIREARM ASSOCIATION INC
831648426,WHS GIRLS VOLLEYBALL AND BASKETBALL BOOSTER CLUB
831652020,MOMMIES MATTER
831652271,FASHIONABLE AND THICK FOUNDATION
831654288,GIRL ON FIRE OUTREACH MINISTRIES
831654662,CEDAR PARK GIRLS SOCCER BOOSTER CLUB
831655878,RESTORE 6 34 INC
831656301,BLACK WOMENS WALL STREET INC BWWS
831658231,WOMEN INVOLVED THROUGH CHARLOTTESVILLE HOSPITALITY INC
831658323,U KNIGHTED KINGDOM HIGLEY GIRLS VOLLEYBALL BOOSTER
831658493,BETTER NEW LIFE FOUNDATION
831662467,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 3899 SI OF THE BOLD NORTH ONLINE
831663962,NATIONAL COALITION OF 100 BLACK WOMEN INC SOUTH BEND AREA CHAPT
831665390,WARRIOR BAGS
831666038,WOMENS MINISTRY
831666869,MARION COUNTY BABYWEARERS INC
831666984,PEACE OFFICER WIVES OF CALIFORNIA INC
831667107,LADIES OF CHARITY CALVERT COUNTY INC LADIES OF CHARITY
831669315,STUDENTS AGAINST SEXUAL ASSAULT
831672061,LITTLE PINK RIBBON GIRL
831673545,LEADERSHIP FOUNDATION FOR WOMEN INC
831675018,LIFEHOUSE
831675690,PARENT BOOSTER USA INC DENMARK HIGH SCHOOL GIRLS LACROSSE
831676715,ANGELS PATH FOUNDATION INC
831680582,RTWELVE INC RTWELVE WOMEN OF NORTH IRVINE INC
831681926,WICHITA AREA BREASTFEEDING COALITION
831683035,HOUSTON AGGIE WOMEN
831685713,WOMENS EMPOWERMENT FOUNDATION
831689191,LEAGUE OF WOMEN VOTERS OF BEAUFORT SOUTH CAROLINA AREA INC
831689215,WICERS
831689576,WOMEN BLOOMING IN SEASON SOWING INTO OUR HARVESTS MARCIA PATRICE BROWN MBR
831693540,GODS CONFIDENT SONS AND DAUGHTERS
831693605,NO WOMAN LEFT BEHIND EWC NO WOMAN LEFT BEHIND
831694903,DYNAMIC WOMEN FOUNDATION INCORPORATED
831699406,WOMEN IN SUPPORT AND HELP
831699763,GIRL GONE UNTAMED
831700409,KRISTINS FUND INC
831702193,NERDY GIRL SUCCESS INC
831702472,GIRLS CRUSHING IT INC
831707552,MOM S GUIDE TO ROBOTICS INC
831707769,LOVE YOUR BIRTH
831714013,SISTERS OF SEKHMET INC
831714889,PURPLE SERVICE ANNOUNCEMENT
831718536,LADIES OF CHARITY AT ST JOHNS UNIVERSITY INC
831718629,LEAN IN LATINAS
831718740,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 RAPPAHANNOCK CHAPTER
831718754,C2 YOUR HEALTH WOMENS INITIATIVE INC
831719177,WOMEN IN FILM AND TV OHIO
831720820,ONE HUNDRED SHARES BIRMINGHAM
831727693,WOMANS BUSINESS NETWORK INC WOMANS BUSINESS NETWORK
831729059,SISTERS OF THE POOR FOUNDATION
831731389,WE WEST VIRGINIA INC
831732190,PINK CHAIR PROJECT INC
831733884,WOMEN IN SPORTS AND EVENTS TAMPA BAY INC
831735129,UNION COUNTY WOMEN OF LAW ENFORCEMENT INC
831737210,INTERNATIONAL SOCIETY DAUGHTERS OF UTAH PIONEERS UT OLD BELL SCHOOL COMPANY
831742217,U KNIGHTED KINGDOM HIGLEY GIRLS SOCCER BOOSTER CLUB
831742762,GIRLS WITH IMPACT INC
831742791,ASSOCIATION OF WOMEN AND MINORITY CONTRACTORS OF TEXAS
831742902,BREAST CANCER ANGEL NETWORK
831746595,MY GIRLS INC
831747082,WOMANHOOD THE MUSEUM INC
831749627,STEAMBOAT GIRLS LACROSSE
831749731,COLUMBUS GIRLS SOFTBALL ASSOCIATION COLUMBUS GIRLS SOFTBALL LEAGUE
831750489,NORTH STATE DOULA PROGRAM
831751742,RIDE TO RIDE OUT BREAST CANCER JOHN KASEY
831751800,MISSION RIGHTEOUS ROOTS
831752251,WOMEN ALIVE FOUNDATION
831753827,MISSISSIPPIANS AGAINST HUMAN TRAFFICKING
831753851,LAKE OSWEGO GIRLS BASKETBALL CLUB
831754842,GIRLS WITH PURPOSE
831756679,RTWELVE INC RTWELVE WOMEN OF LADERA RANCH
831760788,UNIVERSITY OF WISCONSIN STOUT WOMENS CLUB VOLLEYBALL STOUT WOMENS CLUB VOLLEYBALL
831762836,NAIJA WIVES INC
831765616,JUST PLAY TEXAS GIRLS LACROSSE ASSOCIATION
831766888,GFWC ZEHLIANS
831766932,MOTHERS MENDING HALOS
831768982,CLEAR CREEK ISD GROUPS CLEAR BROOK HIGH SCHOOL GIRLS BASKE
831771945,RESILIENT SISTERHOOD PROJECT INC
831773852,BEATS TO BEAT BREAST CANCER
831773990,HAPPY WOMAN FOUNDATION
831776207,INSTITUTE FOR THE ADVANCEMENT OF WOMENS HEALTH
831785275,IGNITE WOMEN OF THE MADISON FIRE DEPARTMENT
831788143,AUNTIES HOUSE OF REFUGE
831789050,GFWC NORTHWEST SUBURBAN WOMANS CLUB
831793042,PINKTAILS AVIATION ACADEMY INC PINKTAILS AVIATION
831796706,WOMAN ORGANIZATION FOR MINORITIES ACHIEVING NOW WOMAN
831796816,SERAPHIM PROJECT
831797138,WOMEN ROAD BUILDERS
831797445,STACY JONES FOUNDATION INC
831801489,CALIFORNIA FEDERATION OF WOMENS CLUBS GFWC AMERICAN RIVER WOMENS CLUB
831807472,LOTUS GIRLS
831807532,RESET LIFE INC
831807847,JEWISH WOMENS THEATER OF SOUTH FLORIDA INC
831814288,APPLE OF MY EYE WOMEN VETERANS CENTER INC
831814425,FOUNDATION FOR WOMEN WRITING FOR A CHANGE OF JACKSONVILLE INC WOMEN WRITING FOR A CHANGE JAX
831818374,BROKEN BOW WOMENS MINISTRIES
831818837,GABRIELS GLADIATORS
831822904,INTERNATIONAL FOUNDATION FOR WOMENS AND CHILDRENS EMPOWERMENT INC
831822947,DURHAM VOLUNTEER DOULAS
831823044,WOMEN INITIATIVE NETWORK OF LIBERIA IN FARGO ND
831823630,RIGHT HAND FOUNDATION INC
831827206,BROWN GIRLS CODE BGC CLUBS
831827823,WOMENS POWER LEAGUE OF ALASKA
831828198,SAFFRON TRUST WOMENS FOUNDATION
831831010,UPPER PENINSULA HUMAN TRAFFICKING TASK FORCE
831832928,WOMEN AND CHILDREN GLOBAL HEALTH INITIATIVE
831837522,TABLE OF GRACE MINISTRIES INTERNATIONAL
831840790,WILCOCK SPIRITUAL HEALING AND EMPOWERMENT
831842795,COMMUNITY BOTS INC
831843149,LADIES TOUCH INCORPORATED
831844276,LADIES TOUCH HEALTH AND WELLNESS
831845332,HELP 4 MOM AND POP INC
831846090,WOMEN INITIATING SUCCESS ENVISIONED INC
831847209,NATIONAL ASSOCIATION OF UNIVERSITY WOMEN TERREBONNE BRANCH NAUW
831847752,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC MOTHERLODE FRESH TRACKS
831849324,GRAND FORKS GIRLS FASTPITCH ASSOCIATION
831849400,NEW ENGLAND WOMENS HOCKEY ALLIANCE
831852609,DRIVE OUT TRAFFICKING
831859805,GIVING FOUNDATION FOR WOMEN AND CHILDREN INC GIRLS NIGHT OUT BY SHAWN YANCY
831862573,GIRLY GENIUS CORPORATION GIRLY GENIUS
831862836,BEAUTY BEYOND THE MIRROR PROJECT
831866890,IDAHO WOMENS ATHLETIC FOUNDATION INC
831867164,LADIES IN FORMATION
831868631,WOMENS TRANSPORTATION SEMINAR OF PHILADELPHIA CHARITABLE FOUNDATION
831869816,ELLA EMPOWERING LATINA LEADERS IN ARIZONA
831871950,UKRAINIAN NATIONAL WOMENS LEAGUE OF AMERICA INC 141
831875573,LADIES IN PRAYER LIP INC
831877071,SIDEKICK EDUCATION INC
831886121,JUNIOR AUXILIARY OF CROSS COUNTY ARKANSAS
831887832,SUPER WOMEN DESERVE DINNER CORPORATION
831890256,DYNAMIC GIRLS INC
831892948,WIFE AFTER PRISON
831896843,PITTSBURGH BEREAVEMENT DOULAS INC
831897521,WOMENS RIGHTS AND PEACE OF BAY AREA
831897538,LAND TRUST OF THE SISTERS OF CHARITY AT MOUNT ST VINCENT
831900601,WOMEN IN COMMUNITY BANKING
831901616,SIGMA DELTA EPSILON GRADUATE WOMEN IN SCIENCE INC ARIZONA GRADUATE WOMEN IN SCIENCE
831903147,WOMEN OF PRAYER PURPOSE AND POWER MINISTRY
831904094,FRANKLIN GIRLS COTILLION
831904410,BLACK WOMEN RISING
831906466,AUNT JOYCES HOUSE INC
831907156,LA JOVEN GUARDIA DEL TEATRO Y LA DANZA LATINA INC LA JOVEN GUARDIA DEL TEATRO
831907662,FEMININE RISING
831909777,BETTER WOMAN SCHOLARSHIP FUND BETTER WOMAN BETTER WIFE
831910589,KJSJ FOUNDATION
831910647,GIVING GIRLS
831910947,CALIFORNIA COMMUNITY COLLEGE WOMENS BASKETBALL COACHES ASSOCIATION
831911819,ROBYNS RAINBOWS INC
831914429,TRACE HOLISTIC
831917131,QUALITY OF LIFE FOR YOUNG MOTHERS CHM QUALITY OF LIFE OUTREACH
831917767,PORTAGE NORTHERN WOMENS BASKETBALL INC
831919110,I AM HERR
831920095,HER HOPE PREGNANCY CENTER INC
831922461,CANYON GIRLS LACROSSE BOOSTER CLUB
831922968,POLISH AND AMERICAN WOMEN ENTREPRENEURS ASSOCIATION INC POLISH AND AMERICAN WE
831924863,WOMEN WHO CARE ABOUT COMMUNITY
831925261,DEEPWATER WOMEN
831926470,WOMEN AFRICA INTERNATIONAL FOUNDATION INC
831928817,KAREN A BRADSHAW MEMORIAL CHARITY FUND
831929740,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ESTHER MARION
831930161,EMPOWERED WOMEN UNITED FOR CHANGE
831930585,WOMEN HELPING ENCOURAGING WOMEN AKA WHEW INC
831933522,GILMORE GIRLS GREETINGS FOUNDATION
831934615,MOTHERLESS CHILD
831935194,AZ WOMEN FOR THE ARTS CAROLINE H FARKAS SOLE MBR
831935940,MEDEXECWOMEN INC
831937345,TEMPLE 47 PYTHIAN SISTERS
831942220,NEW ORLEANS HIPPIES WOMENS FOOTBALL TEAM COMMUNITY OUTREACH P
831942724,STL VETERANS HOME ASSISTANCE LEAGUE
831948165,SISTERS OF BROOKLYN NEW YORK MUSLIM YOUTH CENTER INC
831951199,BAKHITA MOUNTAIN HOME INC
831952040,CAROLINA ELITE HAM
831955122,WOMENS RECOVERY NETWORK
831959969,SEEK WOMEN INC
831961748,NEXUS EMPOWERMENT FOUNDATION
831961888,COLLECTIVE LIBERTY
831962481,PHI MU LADIES OF LOUISIANA
831964328,VOW FOR GIRLS INC
831966588,WOMENS COUNCIL OF REALTORS FOUNDATION
831967131,GIRLS ON TRACK FOUNDATION
831970569,PIVOTING IN HEELS NFP
831971312,JUNIOR AUXILIARY OF NEVADA COUNTY ARKANSAS INC
831974935,FILAM WOMENS CLUB OF CALIFORNIA
831979530,DIXIE DARLING ALUMNAE ASSOCIATION A MISSISSIPPI CORPORATION
831979954,WAVE WOMEN AGAINST VIOLENCE EMPOWERMENT INC
831981030,ADVANCING WOMEN IN AVIATION ROUNDTABLE
831983235,MOTHERS ESQUIRE INC
831984602,BLOCKCHAIN BY WOMEN
831985291,LEADING WOMEN DEFINED FOUNDATION
831989986,WOMEN MOVING FORWARD MINISTRIES
831991755,MINUTES MATTER ORGANIZATION MINUTES MATTER
831991781,FAROS DAUGHTER
831994505,LLL WOODBRIDGE
831994724,SECOND CHANCES WOMENS HOME
832001383,MOTHERHOOD BEYOND BARS
832003211,GIRLS CAN TOO INC
832003504,BLACK WOMEN INSTILLING SCHOLARLY EXCELLENCE
832004422,ALASKA STATE ULTRASOUND SOCIETY
832004769,PHOENIX HOUSE SEXUAL ASSAULT AND DOMESTIC VIOLENCE RESOURCE CENTER
832006645,BROOKFIELD FASTPITCH STARS GIRLS SOFTBALL CLUB
832008346,DISTINGUISHED YOUNG WOMEN OF TAYLOR COUNTY
832010607,FIGHTING FOR FEMALE FITNESS
832011247,WOMENS TABLE OF HOUSTON
832014043,COURTSIDE VOLLEYBALL CLUB
832015178,OUR MINDS OUR VOICES
832016279,GEMS GIRLS IN ENERGY MANAGEMENT AND STEM
832016657,DESI FOUNDATION AGAINST SEX TRAFFICKING
832016693,PLEASURABLE CHILDCARE CENTER II LLC
832016718,INTERNATIONAL GIRLS ENSEMBLE
832017479,ATHELITES INC
832020283,OKALOOSA COMMISSION ON THE STATUS OF WOMEN INC
832021840,EMPOWERING PARENTS KANSAS CITY
832021898,BLUE STAR MOTHERS OF AMERICA INC RED ROSE BLUE STAR MOMS PA202
832025397,PRISSY GIRLZ INC
832025873,SANCTUARY PROJECT FOUNDATION INC
832026603,BROTHERS IN THE WIND INC
832027933,GIRLS AROUND THE WORLD INC
832028900,SHAMBHAVI WEFORSHE FOUNDATION WEFORSHE FUND
832029500,USCORE KICKSAVE FOUNDATION
832031736,CAMP CONFIDENCE FOR GIRLS INC
832032505,NEST OF LOVE SAMANTHA GIL GEN PTR
832035469,NEW ENGLAND WOMENS SPORTS FOUNDATION INC
832038214,GIRLS ON THE RUN INTERNATIONAL GIRLS ON THE RUN EL PASO
832040595,HOPE PRENATAL SERVICES INC
832041134,EAST HIGH SCHOOL WOMENS RUGBY
832044782,SISTERHOOD FOR GOOD INC SISTERHOOD FOR GOOD
832046573,PROFESSIONAL WOMENS CHRISTIAN CONNECTION INC
832047701,NEW ORLEANS WOMENS FINAL FOUR LOCAL ORGANIZING COMMITTEE INC
832048271,HISPANIC WOMEN OF SPRINGFIELD
832049244,BOUNDLESS LIFE
832050551,RUSSELL WOMEN AND YOUTH DEVELOPMENT SERVICES
832051516,SHEKAHN INC
832052814,MISS AMAZING INC GROUP FILING RETURN
832053897,EMA LEADERSHIP DEVELOPMENT FOUNDATION INC
832057768,ELIZABETH FIFI FOUNDATION INC
832063252,CDM GIRLS TENNIS FOUNDATION
832063545,LADIES WHO LOVE CHRIST MINISTRIES INC
832064823,POWER RISING
832067631,MIGHTY IS HER CALL INC
832069126,1 WOMAN 4 ALL A NJ NONPROFIT CORPORATION 1 WOMAN 4 ALL
832070456,GIRLS ON A MISSION GIRLS ON A MISSION
832071443,LEGACY MISSION INTERNATIONAL
832071545,FORWARD PROGRESSION DEVELOPMENT INC
832072077,HOLY MOTHER OF GOD HERMITAGE INC
832072633,FEMINISTS FOR LIBERTY INC
832073988,STRONG WOMEN IN ACTION SWIA
832074069,WOMENS INITIATIVE INTERNATIONAL INC
832074384,WOMEN IN TECH LAW
832074818,DEEPER STILL ARKANSAS
832076591,RISEN MOTHERHOOD MINISTRIES INC RISEN MOTHERHOOD
832078837,DADS ADVANCING THEIR DAUGHTERS AND SONS INC
832080058,MUSLIM RESPONSE USA FOR RELIEF AND DEVELOPMENT
832082662,EAGLE RIVER HIGH SCHOOL GIRLS BASKETBALL BOOSTERS
832089463,DYLANS MOM LIMITED
832089744,KANSAS CITY GIRLS PREPARATORY ACADEMY FOUNDATION
832091323,PENN USA INC
832093310,CRUSADER RESTORATION WOMEN AND YOUTH RETREAT
832093884,TRACYS CLOSET
832094126,WOMAN WITH A PLAN
832095174,SEXUAL ASSAULT FIGHTER S ELITE INCORPORATED
832098563,MOTHERS OF VICTIMS EQUALITY INC
832104247,LA MERCED FOUNDATION INC
832107626,LAKES JR EAGLES GIRLS BASKETBALL
832109969,FRIENDS OF OR CHAYA INC
832116024,A WOMANS STANDARD INC
832116767,WOMEN IN FILM AND TELEVISION INTERNATIONAL
832124125,DISTRICT 211 214 GIRLS HIGH SCHOOL HOCKEY
832124588,RAVISHING YOUNG LADIES FOUNDATION
832125122,WAILING WOMEN WORLDWIDE USA OUTREACH
832125752,MADAME MERMAID CLUB INC
832128471,WOMEN LIGHT THE WORLD
832133613,COFFEEHOUSE TEN24 INC
832134635,MAGDALENA OREJEL SCHOLARSHIP FUND FOR IMMIGRANT AND REFUGEE WOMEN
832134678,SAFE OF ROCKY MOUNT INC
832136196,BREAST FRIENDS FOREVER INC
832136472,IMPROVING WOMENS OPPORTUNITIES NOW INC
832136570,MISSIONARY SISTERS OF SAINT CHARLES BORROMEO INC
832138528,CENTRAL OREGON BIRTH BEREAVEMENT
832139666,THEE REMARKABLE WOMAN
832140463,MAHOGANY MATERNITY
832141136,GIRLS FORCE
832144566,US WOMEN VETERANS ADVOCACY INITIATIVE
832144751,PLAN A HEALTH INC
832145666,PATRIS FILIA INCORPORATED
832148489,REDEFINED WOMEN EMPOWERMENT INC
832148681,7 MOTHERS INC
832149236,AAGW ASSOCIATION OF ALBANIAN GIRLS AND WOMEN
832150771,HAMILTON WEST GIRLS BASKETBALL BOOSTER CLUB A NJ DOMESTIC NP CORP
832155220,MOM TOGETHER INC
832157730,PARENT BOOSTER USA INC CARLSBAD HIGH SCHOOL GIRLS WATER PO
832159115,TENNESSEE BREASTFEEDING COALITON TNBFC
832159389,HEALING WATERS CENTER FOR ABUSED WOMEN
832163335,AFRICAN CROSSROAD DEVELOPMENT INC
832174168,BIRTHING PLACE INTERNATIONAL INC
832175338,SISTERS OF MERCY CDC
832175686,GIRLS IN THE KNOW FOUNDATION INC
832175823,CLEAN LIFE HOUSE OF RECOVERY LLC LINDA VALENTINE SOLE MBR
832176165,METROPOLITAN WOMENS MINISTRY INC METROPOLITAN WOMENS MINISTRY
832176883,SOLUTIONS TO END EXPLOITATION
832178823,WOMEN MARINES ASSOCIATION MI 4 MID MICHIGAN CHAPTER
832187657,DESTINY STREAM ACADEMY CHARTER SCHOOL FOR GIRLS
832190324,MOTHERS ONA MISSION28
832191715,NEW JERSEY STATE FEDERATION OF WOMENS CLUBS GFWC WOMANS CLUB OF BOONTON
832196515,WOMEN WHO LEAD
832198661,EL PASO HIGH SCHOOL GIRLS SOCCER TEAM BOOSTER CLUB
832198785,BRITNEY LEE FOUNDATION INC
832203870,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC RIMROCK CENTRAL VOLLEYBALL CLUB
832206050,FAMILY PEACE CENTER
832206423,LADIES ON MISSION
832207307,GIRLS UNDER CONSTRUCTION II
832209202,MAMMOTH LAKES YOUTH HOCKEY
832209505,COALITION TO PREVENT CHILD SEXUAL ABUSE
832210327,HOUSE OF ASCENSION
832213339,BRILLIANT LIGHT INTERNATIONAL
832214603,PANO NETWORK INC
832221112,WOMEN OF GREATER HOPE AND VISION
832222216,HOPE FOR WOMEN ORG INC
832222223,NORTH CHARLESTON SC YOUTH RESISTANCE INC
832222442,LADIES DRAWING NIGH INC
832222928,LADIES WHO LUNCH AND SUPPORT
832224612,PINAY POWERHOUSE HAWAII
832226719,POTHAWIRA INTERNATIONAL
832226747,LIVING WATER WOMEN S MINISTRY INC
832229483,GRANDMOTHERS WITH LOVE AUTISM ALLIANCE
832231376,PROJECT WE ARE FREE PROJECT WE ARE FREE FOUNDATION
832232373,WOMAN UP SPORTS
832232913,PREACHERS DAUGHTER
832234472,VAIL GIRLS SOFTBALL VAIL FAST PITCH
832236930,SO CAL ATHLETICS LEMASTER GIRLS SOFTBALL CHINO
832239094,PARENT BOOSTER CLUB INC VICTORIA E HIGH SCHOOL GIRLS GOLF B
832239262,HIT LIKE A GIRL INC
832239721,UPWARD SPIRALS
832240147,WOMEN THAT IMPART NURTURE AND GATHER IN SISTERHOOD WINGS
832245617,GODS FEMALE SERVANT MINISTRIES WORLDWIDE INC
832246392,WOMEN MARINES ASSOCIATION SEMPER SORORIBUS GA 2
832249413,LADIES OF HOPE MINISTRIES INC THE LOHM
