,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,Name,boston_region
618,Catholic Daughters of America 286 CT Carmel 286 CT Mt Carmel,1931722,Catholic Daughters of America 286 CT Carmel 286 CT Mt Carmel,,22 GLENDALE ST,GEN,0,237177263,,,CATHOLIC DAUGHTERS OF AMERICA 286 CT CARMEL 286 CT MT CARMEL,No
619,Catholic Daughters of America 436 CT St James 436 CT St James,1931723,Catholic Daughters of America 436 CT St James 436 CT St James,,111 BROCKTON AVE,GEN,0,237177270,,,CATHOLIC DAUGHTERS OF AMERICA 436 CT ST JAMES 436 CT ST JAMES,No
620,Catholic Daughters of America 527 CT James Lee 527 CT James Lee,1931724,Catholic Daughters of America 527 CT James Lee 527 CT James Lee,,135 RESERVOIR AVE,GEN,0,237177275,,,CATHOLIC DAUGHTERS OF AMERICA 527 CT JAMES LEE 527 CT JAMES LEE,No
621,Catholic Daughters of America 783 CT St Monica 783 CT St Monica,1931726,Catholic Daughters of America 783 CT St Monica 783 CT St Monica,,16D MORTON ST,GEN,0,237177284,,,CATHOLIC DAUGHTERS OF AMERICA 783 CT ST MONICA 783 CT ST MONICA,No
622,Catholic Daughters of America CT Blessed Theresa the Little Flower 903 CT Blessed Theresa,1931728,Catholic Daughters of America CT Blessed Theresa the Little Flower 903 CT Blessed Theresa,,133 OAKLAND AVE,GEN,0,237177289,,,CATHOLIC DAUGHTERS OF AMERICA CT BLESSED THERESA THE LITTLE FLOWER 903 CT BLESSED THERESA,No
623,Wellesley College Alumnae Assoc 1952 Class,1931793,Wellesley College Alumnae Assoc 1952 Class,,106 CENTRAL STREET,WEDUC,0,237178521,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1952 CLASS,No
624,Wellesley College Alumnae Association 1946 Class,1931794,Wellesley College Alumnae Association 1946 Class,,106 CENTRAL ST,WEDUC,0,237178572,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 1946 CLASS,No
625,Wellesley College Alumnae Assoc 1954 Class,1931798,Wellesley College Alumnae Assoc 1954 Class,,106 CENTRAL STREET,WEDUC,0,237179202,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1954 CLASS,No
626,Wellesley College Alumnae Assoc New Hampshire Wellesley Club,1931901,Wellesley College Alumnae Assoc New Hampshire Wellesley Club,,106 CENTRAL ST,WEDUC,0,237211788,,,WELLESLEY COLLEGE ALUMNAE ASSOC NEW HAMPSHIRE WELLESLEY CLUB,No
627,Wellesley College Alumnae Assoc New York Capital District,1931902,Wellesley College Alumnae Assoc New York Capital District,,106 CENTRAL ST,WEDUC,0,237211794,,,WELLESLEY COLLEGE ALUMNAE ASSOC NEW YORK CAPITAL DISTRICT,No
628,Wellesley College Alumnae Assoc Milwaukee Wellesley Club,1931903,Wellesley College Alumnae Assoc Milwaukee Wellesley Club,,106 CENTRAL ST,WEDUC,0,237211803,,,WELLESLEY COLLEGE ALUMNAE ASSOC MILWAUKEE WELLESLEY CLUB,No
629,Wellesley College Alumnae Association 1953 Class,1931906,Wellesley College Alumnae Association 1953 Class,,106 CENTRAL ST,WEDUC,0,237214150,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 1953 CLASS,No
630,Wellesley College Alumnae Assoc 1950 Class,1931926,Wellesley College Alumnae Assoc 1950 Class,,106 CENTRAL ST,WEDUC,0,237229697,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1950 CLASS,No
631,Wellesley College Alumnae Assoc Wellesley Club of Kentucky,1931994,Wellesley College Alumnae Assoc Wellesley Club of Kentucky,,106 CENTRAL ST,WEDUC,0,237240995,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF KENTUCKY,No
632,Hadassah the Womens Zionist Organization of America 58 327 000 90000949 Hull,1932003,Hadassah the Womens Zionist Organization of America 58 327 000 90000949 Hull,,2 MAPLE ST,WADV,0,237258198,,,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 327 000 90000949 HULL,No
633,58 501 000 90000953 New Bedford,1932013,58 501 000 90000953 New Bedford,,30 HIDDEN BAY DR,GEN,0,237281145,,,58 501 000 90000953 NEW BEDFORD,No
634,Boston Area Chapter of the Randolph Macon Womans Alumnae Assoc,1932014,Boston Area Chapter of the Randolph Macon Womans Alumnae Assoc,,31 OLD FARM RD,WEDUC,0,237281175,,,BOSTON AREA CHAPTER OF THE RANDOLPH MACON WOMANS ALUMNAE ASSOC,No
635,Attleboro Area Birth Right Inc,1932130,Attleboro Area Birth Right Inc,,77 N MAIN ST,WADV,0,237405230,,,ATTLEBORO AREA BIRTH RIGHT INC,No
636,Catholic Daughters of America 2112 Court Mother Seton 2112,1932160,Catholic Daughters of America 2112 Court Mother Seton 2112,,63 PENNY LN,GEN,0,237431252,,,CATHOLIC DAUGHTERS OF AMERICA 2112 COURT MOTHER SETON 2112,No
637,International Order of the Rainbow Girls 39 Haverhill,1932224,International Order of the Rainbow Girls 39 Haverhill,,10 S CROSS RD,GIRL,0,237507248,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 39 HAVERHILL,No
638,International Order of the Rainbow Girls 85 Holden Assembly,1932225,International Order of the Rainbow Girls 85 Holden Assembly,,71 MESSENGER ST APT 943,GIRL,0,237507250,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 85 HOLDEN ASSEMBLY,No
639,Catholic Daughters of America 318 CT Irma 318,1932272,Catholic Daughters of America 318 CT Irma 318,,24 ELY RD,GEN,0,237564639,,,CATHOLIC DAUGHTERS OF AMERICA 318 CT IRMA 318,No
640,Girl Talk Theatre Inc,1932615,Girl Talk Theatre Inc,,PO BOX 5901,WART,0,261626249,,,GIRL TALK THEATRE INC,No
641,Womens Action Initiative,1932872,Womens Action Initiative,,3 HEMLOCK DR,WADV,0,263327795,,,WOMENS ACTION INITIATIVE,No
642,Malek Girls International Inc,1932913,Malek Girls International Inc,,195 BINNEY ST APT 4112,WEDUC,0,263640972,,,MALEK GIRLS INTERNATIONAL INC,No
643,Dolly St Germain Miracle Mom Foundation,1932928,Dolly St Germain Miracle Mom Foundation,,27 ZAREK DR,WRELIG,0,263789692,,,DOLLY ST GERMAIN MIRACLE MOM FOUNDATION,No
644,Boston Initiative To Advance Human Rights Inc,1932944,Boston Initiative To Advance Human Rights Inc,The boston initiative to advance human rights (bitahr) is dedicated to programs that focus on helping women and children attain protection and fulfillment of their human rights. Bitahr has a particular interest in the right of women and children to be free from forced prostitution and commercial sexual exploitation (cse).,38 NEWBURY ST STE 702,"GV,WADV",0,263918051,,,BOSTON INITIATIVE TO ADVANCE HUMAN RIGHTS INC,No
645,Womens Health Exchange Inc,1932962,Womens Health Exchange Inc,,PO BOX 495,WHLTH,0,264094393,,,WOMENS HEALTH EXCHANGE INC,No
646,My Girls Gala Inc,1933027,My Girls Gala Inc,,231 Weston Rd,WHLTH,0,264595124,,,MY GIRLS GALA INC,No
647,Gaila Fund for Women With Cancer,1933165,Gaila Fund for Women With Cancer,,1 BEL AIR RD,"WHLTH,WSW",0,270717805,,,GAILA FUND FOR WOMEN WITH CANCER,No
648,Jane Battaglia Fight for Breast Cancer,1933347,Jane Battaglia Fight for Breast Cancer,,582 SHARPNERS POND RD,WHLTH,0,272269420,,,JANE BATTAGLIA FIGHT FOR BREAST CANCER,No
649,One Way Treatment,1933531,One Way Treatment,,10 MARION RD,GEN,0,274100108,,,ONE WAY TREATMENT,No
650,Pretty in Pink Inc,1933581,Pretty in Pink Inc,,PO BOX 375,GEN,0,274780666,,,PRETTY IN PINK INC,No
651,My Mothers House Inc,1933594,My Mothers House Inc,,219B BURT ST,WHSV,0,274980664,,,MY MOTHERS HOUSE INC,No
652,Diamond Girls Boston,1933598,Diamond Girls Boston,Realize self worth & esteem in teen girl,13 Dudley St,WEDUC,0,275091443,,,DIAMOND GIRLS BOSTON,No
653,Community Outreach Committee Inc,1934919,Community Outreach Committee Inc,Part 1: collect funds to contribute to battered women's shelter - part 3: raise money to support battered women's organizations,7 DEL LOGAN DR,"GV,WPSB",0,371545493,,,COMMUNITY OUTREACH COMMITTEE INC,No
654,Wellesley College Alumnae Assoc South Eastern Michigan Wellesley Cb,1935199,Wellesley College Alumnae Assoc South Eastern Michigan Wellesley Cb,,106 CENTRAL ST,WEDUC,0,386090231,,,WELLESLEY COLLEGE ALUMNAE ASSOC SOUTH EASTERN MICHIGAN WELLESLEY CB,No
655,Wellesley College Alumnae Assoc Mid Hudson Valley Wellesley Club,1935793,Wellesley College Alumnae Assoc Mid Hudson Valley Wellesley Club,,106 CENTRAL ST,WEDUC,0,453071196,,,WELLESLEY COLLEGE ALUMNAE ASSOC MID HUDSON VALLEY WELLESLEY CLUB,No
656,Peabody Youth Girls Lacrosse Inc,1935828,Peabody Youth Girls Lacrosse Inc,,9 Mulberry Dr,GIRL,0,453597030,,,PEABODY YOUTH GIRLS LACROSSE INC,No
657,Northeast Pregnancy Resource Center Coalition,1935915,Northeast Pregnancy Resource Center Coalition,,42 IMRIE ST,"WHLTH,WHSV",0,454765458,,,NORTHEAST PREGNANCY RESOURCE CENTER COALITION,No
658,Trinity Recovery for Women,1936045,Trinity Recovery for Women,,259 MAIN ST,WHSV,0,461323963,,,TRINITY RECOVERY FOR WOMEN,No
659,African Women Advocacy Project,1936137,African Women Advocacy Project,,C/O LYABO OBASANJO 1 ALBA LANE,WART,0,462700476,,,AFRICAN WOMEN ADVOCACY PROJECT,No
660,Alumnae Association of Mount Holyoke College Inc the Class of 2013,1936151,Alumnae Association of Mount Holyoke College Inc the Class of 2013,,238 W Canton St Apt 2,WEDUC,0,462905636,,,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC THE CLASS OF 2013,No
661,Lion of Judah Wailing Women International Inc,1936204,Lion of Judah Wailing Women International Inc,,49 Highland Glen Drive,WHSV,0,463790436,,,LION OF JUDAH WAILING WOMEN INTERNATIONAL INC,No
662,Womens Inspirational Group Wig,1936352,Womens Inspirational Group Wig,,PO Box 426,WPSB,0,471066006,,,WOMENS INSPIRATIONAL GROUP WIG,No
663,Women of Light Fellowship,1936568,Women of Light Fellowship,,152 Beach Street Apt 2,GEN,0,475602945,,,WOMEN OF LIGHT FELLOWSHIP,No
664,Andover High School Girls Ice Hockey Boosters Ahs Girls Ice Hockey Boosters,1936572,Andover High School Girls Ice Hockey Boosters Ahs Girls Ice Hockey Boosters,,16 birch rd,WEDUC,0,475650412,,,ANDOVER HIGH SCHOOL GIRLS ICE HOCKEY BOOSTERS AHS GIRLS ICE HOCKEY BOOSTERS,No
665,Circle of Women Inc,1936809,Circle of Women Inc,,32 BREAKWATER CV,"WART,WSW",0,510539711,,,CIRCLE OF WOMEN INC,No
666,LA Leche League International Inc Lll Newburyport,1936820,LA Leche League International Inc Lll Newburyport,,12 ARTHUR WELCH DR,WSNW,0,510586745,,,LA LECHE LEAGUE INTERNATIONAL INC LLL NEWBURYPORT,No
667,Wellesley College Alumnae Assoc 1983 Class,1936892,Wellesley College Alumnae Assoc 1983 Class,,106 CENTRAL ST,WEDUC,0,521293717,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1983 CLASS,No
668,National Organization of Mothers of Twins Clubs Merrimack Valley Mota,1936908,National Organization of Mothers of Twins Clubs Merrimack Valley Mota,,32 LOUISE AVE,WHSV,0,521351954,,,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS MERRIMACK VALLEY MOTA,No
669,Wellesley College Alumnae Assoc Tidewater Wellesley Club,1937199,Wellesley College Alumnae Assoc Tidewater Wellesley Club,,106 CENTRAL ST,WEDUC,0,541572968,,,WELLESLEY COLLEGE ALUMNAE ASSOC TIDEWATER WELLESLEY CLUB,No
670,LA Leche League International Inc Lll Dedham,1937257,LA Leche League International Inc Lll Dedham,,7 SUMMER ST,WSNW,0,542081988,,,LA LECHE LEAGUE INTERNATIONAL INC LLL DEDHAM,No
671,Waveinstitute,1938386,Waveinstitute,,3 SURREY LN,GEN,0,651224627,,,WAVEINSTITUTE,No
672,Wellesley College Alumnae Assoc Wellesley Club Greater New Orleans,1938676,Wellesley College Alumnae Assoc Wellesley Club Greater New Orleans,,106 CENTRAL ST,WEDUC,0,720904716,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB GREATER NEW ORLEANS,No
673,Friends of Scituate Girls Hockey Inc,1939061,Friends of Scituate Girls Hockey Inc,,57 OLD OAKEN BUCKET RD,GIRL,0,743204402,,,FRIENDS OF SCITUATE GIRLS HOCKEY INC,No
674,Wellesley College Alumnae Assoc Austin Wellesley Club,1939074,Wellesley College Alumnae Assoc Austin Wellesley Club,,106 CENTRAL ST,WEDUC,0,746047971,,,WELLESLEY COLLEGE ALUMNAE ASSOC AUSTIN WELLESLEY CLUB,No
675,General Federation of Womens Clubs of Massachussetts Inc GFWC Past State Presidents Club,1939473,General Federation of Womens Clubs of Massachussetts Inc GFWC Past State Presidents Club,,250 BARKER RD,WSNW,0,770636031,,,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSSETTS INC GFWC PAST STATE PRESIDENTS CLUB,No
676,Women Common Intiative Group Wcig,1939679,Women Common Intiative Group Wcig,,15 RIVER STREET PL,WHSV,0,800924557,,,WOMEN COMMON INTIATIVE GROUP WCIG,No
677,Venezuelan Women in Action Corp,1939793,Venezuelan Women in Action Corp,,256 beacon street,WADV,0,811776903,,,VENEZUELAN WOMEN IN ACTION CORP,No
678,Wellesley College Alumnae Association Wellesley Club of Austin,1939799,Wellesley College Alumnae Association Wellesley Club of Austin,,106 CENTRAL ST,WEDUC,0,811855256,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF AUSTIN,No
679,New England Trafficking Aftercare Coalition Inc,1939812,New England Trafficking Aftercare Coalition Inc,,800 boylston st ste 722 ropes gray,WHSV,0,812037509,,,NEW ENGLAND TRAFFICKING AFTERCARE COALITION INC,No
680,Womens Worth Inc,1939931,Womens Worth Inc,,6 Liberty Square Ste 2031,WINTL,0,813606527,,,WOMENS WORTH INC,No
681,Latina Center Maria,1940100,Latina Center Maria,,30 Menlo Ter,WPSB,0,815091900,,,LATINA CENTER MARIA,No
682,Old Colony Womens Soccer League,1940195,Old Colony Womens Soccer League,,30 Camp St,GIRL,0,820639819,,,OLD COLONY WOMENS SOCCER LEAGUE,No
683,Congolese American Women Empowerment and Leadership,1940402,Congolese American Women Empowerment and Leadership,,28 Fay Rd,WPSB,0,821788504,,,CONGOLESE AMERICAN WOMEN EMPOWERMENT AND LEADERSHIP,No
684,Carols Corner Foundation Inc,1940461,Carols Corner Foundation Inc,To organize events to raise awareness and funds to support reserach for metastatic breast cancer.,6 Denton Rd,"WART,WHLTH",0,822041951,,,CAROLS CORNER FOUNDATION INC,No
685,Wellesley College Alumnae Association Class of 2017,1940828,Wellesley College Alumnae Association Class of 2017,,106 Central St,WEDUC,0,823074826,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION CLASS OF 2017,No
686,Duxbury Girls Youth Lacrosse Inc,1940945,Duxbury Girls Youth Lacrosse Inc,,PO Box 349,GIRL,0,823281109,,,DUXBURY GIRLS YOUTH LACROSSE INC,No
687,Bridgewater Raynham Girls Youth Lacrosse,1941063,Bridgewater Raynham Girls Youth Lacrosse,,398 S Main St,GIRL,0,823515033,,,BRIDGEWATER RAYNHAM GIRLS YOUTH LACROSSE,No
688,Pregnancy Family Services LLC,1941167,Pregnancy Family Services LLC,,36 Beach Rd,"WHLTH,WHSV",0,823792277,,,PREGNANCY FAMILY SERVICES LLC,No
689,Boston Emeralds Girls Basketball Club Inc,1941381,Boston Emeralds Girls Basketball Club Inc,,4008 Washington St Apt 2a,GIRL,0,824401597,,,BOSTON EMERALDS GIRLS BASKETBALL CLUB INC,No
690,Blessed Women Feeding the Homeless,1941490,Blessed Women Feeding the Homeless,,5 F B Merrick Cir,GV,0,824720011,,,BLESSED WOMEN FEEDING THE HOMELESS,No
691,Healing Emotions After Breast Cancer Inc,1941595,Healing Emotions After Breast Cancer Inc,To offer support and guidance for women,3 Corinthian Ln,WHLTH,0,825019537,,100.0,HEALING EMOTIONS AFTER BREAST CANCER INC,No
692,Walpole Girls Lacrosse Inc,1941621,Walpole Girls Lacrosse Inc,,16 Lavender Ln,GIRL,0,825109799,,,WALPOLE GIRLS LACROSSE INC,No
693,Feminine Empowerment Movement Slam Fems,1941736,Feminine Empowerment Movement Slam Fems,,56 Forbes St Apt 2,WART,0,825384114,,,FEMININE EMPOWERMENT MOVEMENT SLAM FEMS,No
694,Girls Golf of New England Inc,1941812,Girls Golf of New England Inc,,412 MASSACHUSETTS AVE,GIRL,0,830491943,,,GIRLS GOLF OF NEW ENGLAND INC,No
695,Women on the Rise New England Inc Women on the Rise New England,1942118,Women on the Rise New England Inc Women on the Rise New England,,7 Bruce St,WHSV,0,831267250,,,WOMEN ON THE RISE NEW ENGLAND INC WOMEN ON THE RISE NEW ENGLAND,No
696,Shambhavi Weforshe Foundation Weforshe Fund,1942420,Shambhavi Weforshe Foundation Weforshe Fund,,273 W 3rd St,GEN,0,832028900,,,SHAMBHAVI WEFORSHE FOUNDATION WEFORSHE FUND,No
697,Hope for Women Org Inc,1942477,Hope for Women Org Inc,,170 Colonels Ln Apt 25,WINTL,0,832222216,,,HOPE FOR WOMEN ORG INC,No
698,Walpole Girls Field Hockey Inc,1942496,Walpole Girls Field Hockey Inc,,650 Washington Street,GIRL,0,832262248,,,WALPOLE GIRLS FIELD HOCKEY INC,No
699,Ahs Girls Basketball Boosters Inc,1942584,Ahs Girls Basketball Boosters Inc,,6 Teaberry Ln,GIRL,0,832464999,,,AHS GIRLS BASKETBALL BOOSTERS INC,No
700,Gay Sons and Mothers Inc,1942666,Gay Sons and Mothers Inc,,535 Albany St 3rd FL,WHSV,0,832747099,,,GAY SONS AND MOTHERS INC,No
701,Norwell Girls Softball Association Inc,1942673,Norwell Girls Softball Association Inc,,25 Highfield Ln,GIRL,0,832763587,,,NORWELL GIRLS SOFTBALL ASSOCIATION INC,No
702,Girls Empowered and Motivated Inc A Not for Profit Corporation,1942810,Girls Empowered and Motivated Inc A Not for Profit Corporation,,248 Highland St,GIRL,0,833323975,,,GIRLS EMPOWERED AND MOTIVATED INC A NOT FOR PROFIT CORPORATION,No
703,National Society of the Daughters of the American Revolution 1 094 MA Hannah Winthrop Chapter,1942847,National Society of the Daughters of the American Revolution 1 094 MA Hannah Winthrop Chapter,,PO Box 817,GEN,0,833469974,,,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION 1 094 MA HANNAH WINTHROP CHAPTER,No
704,Neighborhood Birth Center,1942882,Neighborhood Birth Center,,5 Taylor Ter,WHLTH,0,833632901,,,NEIGHBORHOOD BIRTH CENTER,No
705,Ethel Rose House of Refuge for Women and Children Inc,1943329,Ethel Rose House of Refuge for Women and Children Inc,,95 Willow St,WHSV,0,842055275,,,ETHEL ROSE HOUSE OF REFUGE FOR WOMEN AND CHILDREN INC,No
706,Young Sisters United Stephanie Quezada Sole Mbr,1943455,Young Sisters United Stephanie Quezada Sole Mbr,,9 Bartlet St,GEN,0,842500561,,,YOUNG SISTERS UNITED STEPHANIE QUEZADA SOLE MBR,No
707,Greater Lawrence Italian Womens Club Inc,1943492,Greater Lawrence Italian Womens Club Inc,,26 Rutgers Rd,WSNW,0,842641670,,,GREATER LAWRENCE ITALIAN WOMENS CLUB INC,No
708,Wellesley College Alumnae Association Sierra Wellesley Club,1943850,Wellesley College Alumnae Association Sierra Wellesley Club,,106 CENTRAL ST,WEDUC,0,880502451,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION SIERRA WELLESLEY CLUB,No
709,General Federation of Womens Clubs of Massachusetts Inc Plymouth MA,1943920,General Federation of Womens Clubs of Massachusetts Inc Plymouth MA,,PO BOX 1508,WSNW,0,900440395,,,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC PLYMOUTH MA,No
710,Sierra Leone Womans Movement in Massachusetts Inc,1944594,Sierra Leone Womans Movement in Massachusetts Inc,,1 SUNDERLAND STREET,WINTL,0,943447958,,,SIERRA LEONE WOMANS MOVEMENT IN MASSACHUSETTS INC,No
711,Marshfield Womenade Inc,1944876,Marshfield Womenade Inc,,18 AUNT LIZZIES LN,WHSV,0,1049015,,,MARSHFIELD WOMENADE INC,No
712,Harvard Black Alumni Alumnae Society Inc,1945070,Harvard Black Alumni Alumnae Society Inc,,225 Franklin Street,WEDUC,0,10779185,,,HARVARD BLACK ALUMNI ALUMNAE SOCIETY INC,No
713,Boston Womens Rugby Fc Corporation,1945194,Boston Womens Rugby Fc Corporation,,12 Stoneholm Street,GIRL,0,10961805,,,BOSTON WOMENS RUGBY FC CORPORATION,No
714,Wellesley College Alumnae Assoc 1982 Class,1945283,Wellesley College Alumnae Assoc 1982 Class,,106 Central Street,WEDUC,0,20412553,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1982 CLASS,No
715,Franklin Girls Softball Association,1945307,Franklin Girls Softball Association,"Provide franklin girls a supervised, recreational & competitive softball program",PO Box 706,GIRL,0,20493656,,,FRANKLIN GIRLS SOFTBALL ASSOCIATION,No
716,Wellesley College Alumnae Association Vermont Wellesley Club,1945541,Wellesley College Alumnae Association Vermont Wellesley Club,,106 Central Street,WEDUC,0,30287938,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION VERMONT WELLESLEY CLUB,No
717,LA Leche League International Inc Lll Addison County,1945546,LA Leche League International Inc Lll Addison County,,847 Washington St,WSNW,0,30302636,,,,No
718,H U G S Foxboro Inc,1945646,H U G S Foxboro Inc,Assist victims of domestic voilence,PO Box 466,GV,0,30490897,,,H U G S FOXBORO INC,No
719,Gloucester Fishermens Wives Memorial Inc,1945734,Gloucester Fishermens Wives Memorial Inc,,2 BLACKBURN CTR,WART,0,40010442,,,GLOUCESTER FISHERMENS WIVES MEMORIAL INC,No
720,National Society of New England Women Essex Worcester Colony,1945735,National Society of New England Women Essex Worcester Colony,,2 ARBOR WAY,WADV,0,40294888,,,NATIONAL SOCIETY OF NEW ENGLAND WOMEN ESSEX WORCESTER COLONY,No
721,Womans Club of Fall River,1945740,Womans Club of Fall River,,73 Highland Ave,WPSB,0,41983380,,,WOMANS CLUB OF FALL RIVER,No
722,Tas Sach Inc,1945762,Tas Sach Inc,No longer active,C/O ARCHDIOCESE OF BOSTON 66 BROOKS,WHLTH,0,42104868,,,TAS SACH INC,No
723,Haverhill Young Womens Christian Association Inc,1945771,Haverhill Young Womens Christian Association Inc,"Part 1: to eliminate racism and empower women, in addition to promoting peace, justice, freedom and dignity. - Part 3: to eliminate racism and empower women and promoting peace, justice, freedom, and dignity for all.",38 LAWRENCE STREET,"WHSV,WSW",0,42105888,,,HAVERHILL YOUNG WOMENS CHRISTIAN ASSOCIATION INC,No
724,Unitarian Universalist Womens Federation,1945775,Unitarian Universalist Womens Federation,,258 Harvard Street 322,"WADV,WSW",0,42121343,,,UNITARIAN UNIVERSALIST WOMENS FEDERATION,No
725,St Helen Parish,1945777,St Helen Parish,,392 Hanover St,WRELIG,0,42121644,,,ST HELEN PARISH,No
726,St Margaret Mary Parish,1945786,St Margaret Mary Parish,,845 High St,GEN,0,42159911,,,ST MARGARET MARY PARISH,No
727,St Lukes Hospital Womens Auxiliary,1945788,St Lukes Hospital Womens Auxiliary,,PO box h3003,WHLTH,0,42175121,,,ST LUKES HOSPITAL WOMENS AUXILIARY,No
728,Partners Healthcare System Inc Friends of the Brigham and Womens Hos,1945794,Partners Healthcare System Inc Friends of the Brigham and Womens Hos,,529 MAIN ST STE 510,WHLTH,0,42239449,,,PARTNERS HEALTHCARE SYSTEM INC FRIENDS OF THE BRIGHAM AND WOMENS HOS,No
729,Wellesley College Alumnae Association New Jersey Wellesley Club,1945796,Wellesley College Alumnae Association New Jersey Wellesley Club,,106 Central Street,WEDUC,0,42279317,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION NEW JERSEY WELLESLEY CLUB,No
730,Womens Service Club Inc,1945803,Womens Service Club Inc,,464 MASSACHUSETTS AVE,WPSB,0,42472747,,,WOMENS SERVICE CLUB INC,No
731,Family Planning Committee of Greater Fall River Inc,1945807,Family Planning Committee of Greater Fall River Inc,,337 HANOVER ST,RH,0,42500577,,,FAMILY PLANNING COMMITTEE OF GREATER FALL RIVER INC,No
732,Racial Unity Now Inc,1945818,Racial Unity Now Inc,,11 CHARLES ST,GEN,0,42599804,,,RACIAL UNITY NOW INC,No
733,Wellesley College Alumnae Assoc 1977 Class,1945827,Wellesley College Alumnae Assoc 1977 Class,,106 Central Street,WEDUC,0,42621292,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1977 CLASS,No
734,Alumnae Association of Mount Holyoke College Inc South Shore,1945828,Alumnae Association of Mount Holyoke College Inc South Shore,,118 PRESIDENTS LN,WEDUC,0,42622674,,,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC SOUTH SHORE,No
735,League of Women Voters of Brookline Sara K Wallace Fund,1945839,League of Women Voters of Brookline Sara K Wallace Fund,,PO Box 32,WSNW,0,42633283,,,LEAGUE OF WOMEN VOTERS OF BROOKLINE SARA K WALLACE FUND,No
736,Hingham Girls Athletic Leagues Inc,1945844,Hingham Girls Athletic Leagues Inc,,PO BOX 22,GIRL,0,42642981,,,HINGHAM GIRLS ATHLETIC LEAGUES INC,No
737,Wellesley College Alumnae Assoc 1978 Class,1945849,Wellesley College Alumnae Assoc 1978 Class,,106 Central Street,WEDUC,0,42654452,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1978 CLASS,No
738,New England Baptist Hospital School of Nursing Alumnae Association Inc,1945853,New England Baptist Hospital School of Nursing Alumnae Association Inc,,91 PARKER HILL AVE,WEDUC,0,42666853,,,NEW ENGLAND BAPTIST HOSPITAL SCHOOL OF NURSING ALUMNAE ASSOCIATION INC,No
739,Massachusetts Federation of Polish Womens Clubs Inc,1945857,Massachusetts Federation of Polish Womens Clubs Inc,,48 ELLSWORTH RD,WSNW,0,42675196,,,MASSACHUSETTS FEDERATION OF POLISH WOMENS CLUBS INC,No
740,Soroptimist International of the Americas Inc 102005 Greater Hartford CT,1946034,Soroptimist International of the Americas Inc 102005 Greater Hartford CT,,51 Hazel St,WSNW,0,66011991,,,,No
741,Wellesley College Alumnae Assoc Hartford Wellesley Club,1946127,Wellesley College Alumnae Assoc Hartford Wellesley Club,,106 Central Street,WEDUC,0,66108475,,,WELLESLEY COLLEGE ALUMNAE ASSOC HARTFORD WELLESLEY CLUB,No
742,Wellesley College Alumnae Assoc Southeastern Connecticut Wellesley,1946132,Wellesley College Alumnae Assoc Southeastern Connecticut Wellesley,,106 CENTRAL STREET,WEDUC,0,66183629,,,WELLESLEY COLLEGE ALUMNAE ASSOC SOUTHEASTERN CONNECTICUT WELLESLEY,No
743,Home Space Inc,1946141,Home Space Inc,"Part 1: provide human services to incarcerated mothers and their families through advocacy, counseling visitation and related services. - Part 3: provide human services to",695 Truman Parkway,GV,0,42708648,,,HOME SPACE INC,No
744,Soroptimist International of the Americas Inc 102006 Haverhill Merrimack Vly MA,1946149,Soroptimist International of the Americas Inc 102006 Haverhill Merrimack Vly MA,,PO Box 1533,WSNW,0,42718077,,,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101006 HAVERHILL MERRIMACK VALLEY M,No
745,Les Dames D Escoffier Boston Inc,1946155,Les Dames D Escoffier Boston Inc,Fundraising for scholarships,243 Cutler Rd,GEN,0,42734202,,,LES DAMES D ESCOFFIER BOSTON INC,No
746,Women Transforming Communities,1946164,Women Transforming Communities,,67 Farrar Ave,WEDUC,0,42753418,,,WOMEN TRANSFORMING COMMUNITIES,No
